tag	citation
Johnson2017_integ_cell	arxiv:1705.00092
JuanMateu2016_t1d	doi:10.1530/EJE-15-0916
Kahng2017_activis	arxiv:1704.01942
Karlin	doi:10.1128/jb.179.12.3899-3913.1997
Karpathy2015_visualizing	arxiv:1506.02078
Katzman2016_deepsurv	arxiv:1606.00931
Kearnes2016_admet	arxiv:1606.08793
Kearnes2016_graph_conv	doi:10.1007/s10822-016-9938-8
Kelley2016_basset	doi:10.1101/gr.200535.115
Keras	url:https://github.com/fchollet/keras
Kizek	doi:10.1016/j.bjid.2015.08.013
Kindermans2016_investigating	arxiv:1611.07270
Knights	doi:10.1111/j.1574-6976.2010.00251.x
Koh2016_denoising	doi:10.1101/052118
Koh2017_understanding	arxiv:1703.04730
Kooi2016_mamm_lesions	doi:10.1016/j.media.2016.07.007
Kooi2017_mamm_tl	doi:10.1002/mp.12110
Kraus2017_deeploc	doi:10.15252/msb.20177551
Krizhevsky2013_nips_cnn	url:https://papers.nips.cc/paper/4824-imagenet-classification-with-deep-convolutional-neural-networks.pdf
Krizhevsky2014_weird_trick	arxiv:1404.5997
Lacey2016_dl_fpga	arxiv:1602.04283
Lakhani2017_radiography	doi:10.1148/radiol.2017162326
Lanchantin2016_motif	arxiv:1608.03644
Lee2016_deeptarget	arxiv:1603.09123v2
Lee2016_emr_oct_amd	doi:10.1101/094276
Lei2016_rationalizing	arxiv:1606.04155
Leibig2016_dr	doi:10.1101/084210
Li2014_minibatch	doi:10.1145/2623330.2623612
Li2016_variation	doi:10.1126/science.aad9417
Liang2015_exprs_cancer	doi:10.1109/TCBB.2014.2377729
Lipton2016_missing	arxiv:1606.04130
Lipton2015_lstm	arxiv:1510.07641
Litjens2016_histopath_survey	doi:10.1038/srep26286
Litjens2017_medimage_survey	arxiv:1702.05747
Lisboa2006_review	doi:10.1016/j.neunet.2005.10.007
Liu	doi:10.1371/journal.pone.0097958
Liu2016_towards	arxiv:1604.07043
Liu2016_sc_transcriptome	doi:10.12688/f1000research.7223.1
Lodato2015_neurons	doi:10.1126/science.aab1785
lmat	doi:10.1093/bioinformatics/btt389
Lundberg2016_an	arxiv:1611.07478
Lusci2015_irv	doi:10.1186/s13321-015-0110-6
Lusci2013_rnn	doi:10.1021/ci400187y
Ma2015_qsar_merck	doi:10.1021/ci500747n
Mahendran2014_understanding	arxiv:1412.0035
Mahendran2016_salient	doi:10.1007/978-3-319-46466-4_8
Mahendran2016_visualizing	doi:10.1007/s11263-016-0911-8
Mapreduce	doi:10.1145/1327452.1327492
Mayr2016_deep_tox	doi:10.3389/fenvs.2015.00080
McHardy	doi:10.1038/nmeth976
McHardy2	doi:10.7717/peerj.1603
Metaphlan	doi:10.1038/nmeth.2066
Meng2016_mllib	arxiv:1505.06807
Min2016_deepenhancer	doi:10.1109/BIBM.2016.7822593
Moritz2015_sparknet	arxiv:1511.06051
Mordvintsev2015_inceptionism	url:http://googleresearch.blogspot.co.uk/2015/06/inceptionism-going-deeper-into-neural.html
Mrzelj	url:https://repozitorij.uni-lj.si/IzpisGradiva.php?id=85515
nbc	doi:10.1093/bioinformatics/btq619
Murdoch2017_automatic	arxiv:1702.02540
Nemati2016_rl	doi:10.1109/EMBC.2016.7591355
Nguyen2014_adversarial	arxiv:1412.1897v4
Ngiam2011	url:https://ai.stanford.edu/~ang/papers/icml11-MultimodalDeepLearning.pdf
Nie2016_3d_survival	doi:10.1007/978-3-319-46723-8_25
NIH2016_genome_cost	url:https://www.genome.gov/27565109/the-cost-of-sequencing-a-human-genome/
Nih_curiosity	url:https://www.nigms.nih.gov/Education/Documents/curiosity.pdf
Olivecrona2017_drug_design	arxiv:1704.07555
onecodex	url:https://www.onecodex.com/
Papernot2017_pate	url:https://openreview.net/forum?id=HkwoSDPgg
Park2016_deepmirgene	arxiv:1605.00017
Parnamaa2017	doi:10.1534/g3.116.033654
Pawlowski2016	doi:10.1101/085118
Pereira2016_docking	doi:10.1021/acs.jcim.6b00355
PerezSianes2016_screening	doi:10.1007/978-3-319-40126-3_2
Phymm	doi:10.1038/nmeth.1358
Poplin2016_deepvariant	doi:10.1101/092890
Pratt2016_dr	doi:10.1016/j.procs.2016.07.014
Qin2017_onehot	doi:10.1371/journal.pcbi.1005403
Qiu2017_graph_embedding	doi:10.1101/110668
Ragoza2016_protein	arxiv:1612.02751
RAD2010_view_cc	doi:10.1145/1721654.1721672
Rajkomar2017_radiographs	doi:10.1007/s10278-016-9914-9
Ramsundar2015_multitask_drug	arxiv:1502.02072
Ranganath2016_deep	arxiv:1608.02158
Raina2009_gpu	doi:10.1145/1553374.1553486
Ribeiro2016_lime	arxiv:1602.04938
Rogers2010_fingerprints	doi:10.1021/ci100050t
Roth2015_view_agg_cad	doi:10.1109/TMI.2015.2482920
Romero2017_diet	url:https://openreview.net/pdf?id=Sk-oDY9ge
Rosenberg2015_synthetic_seqs	doi:10.1016/j.cell.2015.09.054
Russakovsky2015_imagenet	doi:10.1007/s11263-015-0816-y
Sa2015_buckwild	arxiv:1506.06438
Salzberg	doi:10.1186/1471-2105-11-544
Schatz2010_dna_cloud	doi:10.1038/nbt0710-691
Schmidhuber2014_dnn_overview	doi:10.1016/j.neunet.2014.09.003
Scotti2016_missplicing	doi:10.1038/nrg.2015.3
Segata	doi:10.1371/journal.pcbi.1004977
Segler2017_drug_design	arxiv:1701.01329
Seide2014_parallel	doi:10.1109/ICASSP.2014.6853593
Setty2015_seqgl	doi:10.1371/journal.pcbi.1004271
Selvaraju2016_grad	arxiv:1610.02391
Shaham2016_batch_effects	arxiv:1610.04181
Shapely	doi:10.1515/9781400881970-018
Shen2017_medimg_review	doi:10.1146/annurev-bioeng-071516-044442
Shin2016_cad_tl	doi:10.1109/TMI.2016.2528162
Shrikumar2017_learning	arxiv:1704.02685
Shrikumar2017_reversecomplement	doi:10.1101/103663
Simonyan2013_deep	arxiv:1312.6034
Singh2016_deepchrome	arxiv:1607.02078
Silver2016_alphago	doi:10.1038/nature16961
Sonderby	arxiv:1503.01919
Soueidan	doi:10.1515/metgen-2016-0001
Spark	doi:10.1145/2934664
Speech_recognition	url:http://www.businessinsider.com/ibm-edges-closer-to-human-speech-recognition-2017-3
Springenberg2014_striving	arxiv:1412.6806
Stein2010_cloud	doi:10.1186/gb-2010-11-5-207
Stenstrom2005_latent	doi:10.2337/diabetes.54.suppl_2.S68
Stormo2000_dna	doi:10.1093/bioinformatics/16.1.16
Stratnikov	doi:10.1186/2049-2618-1-11
Strobelt2016_visual	arxiv:1606.07461
Su2015_gpu	arxiv:1507.01239
Subramanian2016_bace1	doi:10.1021/acs.jcim.6b00290
Sun2016_ensemble	arxiv:1606.00575
Sundararajan2017_axiomatic	arxiv:1703.01365
Sutskever	arxiv:1409.3215
Swamidass2009_irv	doi:10.1021/ci8004379
Tan2014_psb	doi:10.1142/9789814644730_0014
Tan2015_adage	doi:10.1128/mSystems.00025-15
Tan2016_eadage	doi:10.1101/078659
TAC-ELM	doi:10.1142/S0219720012500151
TensorFlow	arxiv:1603.04467
Torracinta2016_deep_snp	doi:10.1101/097469
Torracinta2016_sim	doi:10.1101/079087
Tu1996_anns	doi:10.1016/S0895-4356(96)00002-9
Unterthiner2014_screening	url:http://www.bioinf.at/publications/2014/NIPS2014a.pdf
Vanhoucke2011_cpu	url:https://research.google.com/pubs/pub37631.html
Vera2016_sc_analysis	doi:10.1146/annurev-genet-120215-034854
Vervier	doi:10.1093/bioinformatics/btv683
Wallach2015_atom_net	arxiv:1510.02855
Wang2016_breast_cancer	arxiv:1606.05718
Wang2016_protein_contact	doi:10.1371/journal.pcbi.1005324
Wasson1985_clinical	doi:10.1056/NEJM198509263131306
Word2Vec	arxiv:1301.3781
wgsquikr	doi:10.1371/journal.pone.0091784
Wu2017_molecule_net	arxiv:1703.00564
Xiong2011_bayesian	doi:10.1093/bioinformatics/btr444
Xiong2015_splicing_code	doi:10.1126/science.1254806
Xu2015_show	arxiv:1502.03044
Yasushi2016_cgbvs_dnn	doi:10.1002/minf.201600045
yok	doi:10.1186/1471-2105-12-20
Yoon2016_cancer_reports	doi:10.1007/978-3-319-47898-2_21
Yosinski2014	url:https://papers.nips.cc/paper/5347-how-transferable-are-features-in-deep-neural-networks
Yosinksi2015_understanding	arxiv:1506.06579
Yu2016_melanoma_resnet	doi:10.1109/TMI.2016.2642839
Zeiler2013_visualizing	arxiv:1311.2901
Zeng2015	doi:10.1186/s12859-015-0553-9
Zeng2016_convolutional	doi:10.1093/bioinformatics/btw255
Zhang2015_multitask_tl	doi:10.1145/2783258.2783304
Zhou2015_deep_sea	doi:10.1038/nmeth.3547
Zhu2016_advers_mamm	doi:10.1101/095786
Zhu2016_mult_inst_mamm	doi:10.1101/095794
Zintgraf2017_visualizing	arxiv:1702.04595
